15 DOYERS STREET,1915
11 DOYERS STREET,1920
9 DOYERS STREET,1920
3 DOYERS STREET,1920
13 CHATHAM SQUARE,1915
11 CHATHAM SQUARE,1915
10 CHATHAM SQUARE,1920
9 CHATHAM SQUARE,1920
6 CHATHAM SQUARE,1913
5 CHATHAM SQUARE,1913
4 DOYERS STREET,1977
10 DOYERS STREET,1920
16 DOYERS STREET,1920
17 PELL STREET,1915
13 PELL STREET,1915
11 PELL STREET,1900
9 PELL STREET,1920
18 BOWERY,1905
16 BOWERY,1920
14 BOWERY,1915
12 BOWERY,1915
10 BOWERY,1920
8 BOWERY,1920
4 BOWERY,1970
2 BOWERY,1915
1 DOYERS STREET,1915
7 CHATHAM SQUARE,1920
10 PELL STREET,1910
12 PELL STREET,1915
16 PELL STREET,1915
18 PELL STREET,1920
20 PELL STREET,1910
24 PELL STREET,1915
26 PELL STREET,1920
30 PELL STREET,1915
34 PELL STREET,1915
36 PELL STREET,1920
42 MOTT STREET,1910
46 MOTT STREET,1915
48 MOTT STREET,1915
69 BAYARD STREET,1945
67 BAYARD STREET,1945
65 BAYARD STREET,1915
63 BAYARD STREET,1915
61 BAYARD STREET,1915
59 BAYARD STREET,1910
57 BAYARD STREET,1911
55 BAYARD STREET,1915
53 BAYARD STREET,1915
51 BAYARD STREET,1983
49 BAYARD STREET,1915
47 BAYARD STREET,1910
45 BAYARD STREET,1910
28 BOWERY,1915
26 BOWERY,1920
24 BOWERY,1915
20 BOWERY,1910
30 MULBERRY STREET,1915
32 MULBERRY STREET,1915
34 MULBERRY STREET,1915
40 MULBERRY STREET,1920
42 MULBERRY STREET,1915
46 MULBERRY STREET,1915
54 MULBERRY STREET,1915
58 MULBERRY STREET,1915
60 MULBERRY STREET,1915
62 MULBERRY STREET,1999
66 MULBERRY STREET,1909
83 BAYARD STREET,1915
81 BAYARD STREET,1915
77 BAYARD STREET,1915
51 MOTT STREET,1915
47 MOTT STREET,1915
45 MOTT STREET,1915
43 MOTT STREET,1915
41 MOTT STREET,1920
39 MOTT STREET,1915
33 MOTT STREET,1915
23 MOTT STREET,1915
103 MOSCO STREET,1899
105 MOSCO STREET,1924
21 MOTT STREET,1915
19 MOTT STREET,1915
17 MOTT STREET,1900
15 MOTT STREET,1915
13 MOTT STREET,1915
11 MOTT STREET,1900
9 MOTT STREET,1920
5 MOTT STREET,1910
1 MOTT STREET,1915
197 WORTH STREET,1900
191 WORTH STREET,1948
20 MULBERRY STREET,1900
26 MULBERRY STREET,1910
28 MULBERRY STREET,1910
55 MULBERRY STREET,1935
80 CENTRE STREET,1929
100 CENTRE STREET,1939
75 CENTRE STREET,1934
93 CENTRE STREET,1915
111 CENTRE STREET,1958
336 BROADWAY,1999
346 BROADWAY,1920
95 WORTH STREET,2001
350 BROADWAY,1920
358 BROADWAY,1900
360 BROADWAY,1900
109 LEONARD STREET,1972
356 BROADWAY,1915
354 BROADWAY,1900
364 BROADWAY,1920
368 BROADWAY,1920
370 BROADWAY,1915
83 WHITE STREET,1915
76 LAFAYETTE STREET,1920
40 FRANKLIN STREET,1920
54 FRANKLIN STREET,1920
376 BROADWAY,1990
81 WHITE STREET,1915
77 WHITE STREET,1915
50 FRANKLIN STREET,2007
372 BROADWAY,1915
83 WORTH STREET,1920
74 LEONARD STREET,1920
343 BROADWAY,2005
339 BROADWAY,1968
335 BROADWAY,1924
66 LEONARD STREET,1900
65 WORTH STREET,1920
79 WORTH STREET,1920
87 LEONARD STREET,1910
83 LEONARD STREET,1910
79 LEONARD STREET,1910
75 LEONARD STREET,1920
73 LEONARD STREET,1910
71 LEONARD STREET,1910
